path,purpose,classification,required decisions,evidence to gather,agent role,human decision,output destination,dependency,readiness check,sanitized example
"_templates/publication/CONTEXT.md","Summarize one publication's identity, mode, routes, and authority","Customize for the publication","Owner, local surfaces, run authority, and profile acceptance","Approved publication brief","Generate and hash-bind the profile","Approve the final profile","publications/<publication-id>/CONTEXT.md","Approved publication brief","Full publication verifier passes","Harbor Notes local-only profile"
"_templates/publication/editorial-contract.md","Define reader promise, voice, structure, selection, and quality","Customize for the publication","Voice, format, scope, and intended reader action","Approved brief and any approved public examples","Translate decisions into observable editorial rules","Approve editorial identity","publications/<publication-id>/editorial-contract.md","Approved publication brief","No unsupported decision or placeholder remains","One maintenance decision and checklist"
"_templates/publication/source-contract.md","Define source hierarchy, freshness, evidence, citation, and risk checks","Customize for the publication","Source classes, corroboration, freshness, and risk tolerance","Traceable source routes and review requirements","Turn approved evidence choices into checks","Approve risk tolerance and specialist triggers","publications/<publication-id>/source-contract.md","Approved publication brief","Every load-bearing claim has a trace route","Current public safety manuals outrank rumor"
"_templates/publication/visual-contract.md","Define whether visuals are needed and how they are judged","Customize for the publication","Required, optional, or none plus accessibility rules","Approved visual examples or brand source when available","Record only verified visual capability","Approve visual identity and review surface","publications/<publication-id>/visual-contract.md","Approved publication brief and skill bindings","Requirement and inspection gate are explicit","Harbor Notes requires no visual"
"_templates/publication/delivery-contract.md","Define local output, review, authority, future platform intent, and rollback","Customize for the publication","Local review surface and all publishing authority","Approved brief and any later pilot receipt","Keep the first route local and describe exact readback","Approve live scope separately if ever needed","publications/<publication-id>/delivery-contract.md","Approved publication brief and safety contract","Shadow mode names local Markdown and zero external writes","Stage 08 opens a local preview"
"_templates/publication/skill-bindings.md","Bind each stage capability to a verified procedure, path, command, or deliberate absence","Customize for the publication","Which capabilities are required","Existing paths, commands, and observable proof","Reject plausible but unverified tools","Accept manual steps and optional omissions","publications/<publication-id>/skill-bindings.md","_shared/skill-interface.md","Publication verifier accepts every binding","manual: build the claim ledger"
"_templates/edition/CONTEXT.md","Define one edition record and its pickup route","Generate per edition","Edition request and authorized deviation","Approved publication profile and exact request","Stamp identifiers and preserve profile authority","Authorize the run within the profile mode","editions/<edition-id>/CONTEXT.md","Approved publication profile","No placeholder remains and identity matches folder","2026-09-23-harbor-notes"
"_templates/edition/[0-9][0-9]_*/CONTEXT.md","Define one job, inputs, exclusions, process, outputs, and exit gate for each stage","Copy as-is","Only edition-specific decisions named by the stage","Upstream output and selected publication contracts","Load only the declared context and write only local outputs","Resolve exceptions that exceed routine authorization","Each stamped edition stage","_shared/edition-contract.md","All nine stage contexts exist","Stage 03 builds claim-level evidence"
"_templates/edition/[0-9][0-9]_*/references/CONTEXT.md","Explain the stage reference boundary","Copy as-is","None","Named stable references","Prevent unrelated context loading","Approve any new durable rule","Each stamped stage references folder","Parent stage context","Every references folder has a context file","Only named stable rules load"
"_templates/edition/[0-9][0-9]_*/references/output-contract.md","Define the exact evidence each stage must produce","Copy as-is","Publication-specific optional fields only when the profile requires them","Parent stage job and approval contract","Create files with the declared fields","Accept any exception or live authority boundary","Each stamped stage references folder","_shared/approval-contract.md","Verifier-required outputs and receipt rules agree","Stage 08 records a local preview and match receipt"
"_templates/edition/[0-9][0-9]_*/output/.gitkeep","Preserve empty output boundaries in the edition stamp","Copy as-is","None","None","Leave empty until the stage runs","None","Each stamped stage output folder","Edition template","Empty output means not started","A new edition has nine empty output folders"
"publications/.gitkeep","Preserve the ignored local publication directory","Copy as-is","None","None","Keep the directory available","None","publications",".gitignore","Only the placeholder is tracked","A local profile can be stamped immediately"
"publications/<publication-id>/**","Hold one tailored publication brief and six profile contracts","Never publish","Every human publication decision and final profile acceptance","Traceable facts, sources, interpretations, decisions, and capability proof","Generate only after the two setup gates","Approve brief, profile, risk, and authority","Ignored local publications directory","Publication templates and SETUP.md","Publication verifier passes without secrets or placeholders","Harbor Notes profile stays local"
"editions/.gitkeep","Preserve the ignored local edition directory","Copy as-is","None","None","Keep the directory available","None","editions",".gitignore","Only the placeholder is tracked","A verified profile can stamp an edition"
"editions/<edition-id>/**","Hold one edition's stage outputs and receipts","Generate per edition","Edition request plus any exception decision","Opened sources, stage outputs, readbacks, and receipts","Advance only through passing stages","Retain schedule, send, activate, and publish authority","Ignored local editions directory","Approved publication profile and edition template","Edition verifier passes through the intended stop stage","Harbor Notes passes local delivery at Stage 08"
"scripts/stamp.py","Stamp publication briefs, approved contracts, and editions","Copy as-is","Command inputs and human gates","Approved brief and profile state","Refuse overwrites and closed gates","Approve brief and profile before downstream stamps","scripts","Publication and edition templates","Live help lists only supported commands and flags","The contracts command waits for brief approval"
"scripts/verify-publication.py","Reject unconfigured profiles, placeholders, invented bindings, unclear authority, paths, and secrets","Copy as-is","None","Seven profile files and approved brief hash","Report deterministic failures","Supply the approvals the verifier cannot invent","scripts","_shared contracts and publication profile","Negative and happy-path tests pass","An imaginary binding fails"
"scripts/verify-edition.py","Derive edition progress and detect skipped or invalid stages","Copy as-is","Required completion stage","Stage outputs and receipts","Report the first unfinished stage","Resolve any exception outside routine authority","scripts","Edition contract and templates","Shadow run passes through Stage 08","Stage 09 remains unopened before publication"
"scripts/verify-template.py","Verify public structure, classification, privacy, licensing, and generic boundaries","Copy as-is","None","Repository tree and sanitized example","Run before release","Approve any public-scope exception","scripts","All repository artifacts","Template verification passes","Generic templates contain no Beyond Banks assumption"
"scripts/smoke-test.py","Exercise a fictional interview, seven-file profile, negative gates, and local shadow edition","Copy as-is","None","Disposable fictional inputs","Create and remove a private temporary copy under /private/tmp","None","scripts","Stampers and verifiers","Smoke test passes and leaves no artifact","Harbor Notes reaches Stage 08"
"examples/beyond-banks/**","Show a named but sanitized brief, generated profile, and answer-to-file crosswalk","Optional","Whether the example is useful","Only broad public-facing concepts","Demonstrate transformation without transferring assumptions","Do not treat the example as approval for another publication","examples/beyond-banks","Publication templates","No private source, content, record, path, credential, strategy, or performance data","Beyond Banks local-only teaching profile"
".env*","Hold credentials only when a user's private environment requires them","Never publish","Credential owner and authorized storage route","None in this repository","Refuse to read or commit secret values","Authorize any external integration separately","Local environment outside Git",".gitignore","No environment file is tracked","A platform token never enters the workbook"
".artifacts/**","Hold disposable local files used to create external companion versions","Never publish","Whether an export is needed","Canonical repository content","Create only for bounded export and remove after use","None","Ignored local artifact folder",".gitignore","No local export is committed","A temporary xlsx is imported then removed"
